stone,chakra,description,hardness,physical_description
actinolite,,,5.75,
adamite,,,3.5,
aegirine,,,6.0,
aeschynite,,,5.5,
agate,,"Agates are earth stones. Overall, agates are gentle, nourishing, and strengthening, with a lower intensity than many other gemstones. Individual types of agate have their own personal healing properties.",,
agates,,,,"Agate is an umbrella name for a number of varieties of banded chalcedony. Agate crystals occurs in many colors that range from translucent to opaque. Agates are found all over the world. Some agates are geodes, which means they are hollow in the middle, often with crystals inside. Agate is considered a semi-precious gemstone.
Agates grow in many different types of rock, and through many different processes. As such, their hardness can vary greatly, but is generally somewhere between a six and an eight on the Mohs scale. Agate is a member of the quartz family of gemstones, and often you will find agates with bands of quartz and chalcedony layered through it. Agates are found all over the world. Africa, Asia, Brazil, Egypt, Germany, England, India, Italy, Mexico, Nepal, Canada, and the United States all have varieties of Agates that are found there. Agates are most often found round instead of any other shape.
Agates have been used by humans dating back to the Neolithic period, and were used by early Egyptians and in ancient India.
Agates are for the most part quite durable stones. They can be dyed different colors, sliced exceptionally thin, and aside from doing a real number on your blades because they’re so hard, are quite nice to work with in jewelry. Agates provide unlimited options to work with because of the sheer number of types of agates there are in the world. Pricewise, some agates (like the Fire Agate for example) can end up being quite pricey for a good quality piece; but for the most part agates are very affordable stones, and great for beginners.
"
alexandrite,,"Rather than just bring you joy, Alexandrite helps you develop your own source of joy within yourself. It facilitates an awareness of the beauty of every moment, and your power to choose and make the most of your life. It provides hope by means of awareness of the possibilities that are always available to you, no matter your circumstances.",8.5,"Alexandrite is a member of the chrysoberyl family of stone, some of the rarest stones on earth. (Despite the similar name, they are not related to the beryl family which includes emerald, aquamarine, and morganite). It sits at a 8.5 on the Moh’s scale, making it one of the hardest gemstones.
Alexandrite has an optical property called pleochroism which means that it appears to change color when viewed at different angles. In addition to being pleochroic, it also changes color based on the ambient light source. Under incandescent lighting it will appear purplish-red, but in daylight it will appear bluish-green. This effect is due to the way it absorbs yellow light while transmitting blue and red light.
Alexandrite was discovered in Russia in the 1830s, and named such to honor the Russian Tsar Alexander II. Originally, alexandrite was thought to only be found in Russia, but a Brazilian deposit was discovered in the late 1980s and others soon followed. Today, small deposits of alexandrite are found in Russia, Brazil, Zimbabwe, Madagascar, Burma, India, and Sri Lanka; although they are still quite rare, especially for high quality.
Alexandrite is often listed as the birthstone for the month of June, but because of its rarity, pearls are also listed.
Alexandrite is available only from reputable dealers, and it comes at a price. This stone is not for amateurs, and even pieces of lower quality the size of diamond points (.015cts) are expensive. If you are offered it at an exceptionally low price…it’s probably not alexandrite.
"
algodonite,,,4.0,
allanite,,,5.75,
almandine,,,7.25,
amazonite,"[4, 5]","Amazonite helps to harmonize apparently different motivations and interests by bringing the truth to light without emotionality, and allowing one to see another point of view. It facilitates this process both between people, and within an individual psyche. Therefore it is good for meditation and inner work to clarify inner conflicts and confusion and integrate the self.",6.25,"Amazonite is a brilliant green to bluish-green variety of feldspar. It is sometimes called “Amazon Stone”, and was named after the Amazon River. However, the original green stones found near the Amazon were probably not actually Amazonite. The biggest deposits are in Russia, but it has also been found in the USA, Brazil, and Madagascar. Amazonite is a 6 on the Mohs scale.
Amazonite is usually found in cabochon form, and is almost never faceted because it is easily fractured. While often used in jewelry, occasionally it can crack. Amazonite has a color rarely seen in the gemstone world, so many jewelers believe it is worth the work. Although amazonite can be hard to find, it is not exceptionally expensive.
"
amber,,"Amber carries the energy of the sun, warmth, and wellbeing. It is nurturing and good for people recovering from illness or who are needing comfort. It can transmute negative or stagnate energies into positive energy like a sunny day lifts the spirits. In this way it can be protective, letting you carry around a bubble of sunshine wherever you go.",2.25,"Amber is fossilized sap or pitch from trees, and is usually golden brown and translucent. It can contain bits of plant material or insects that were trapped in the sap and became fossilized with it. Amber has been used in jewelry for thousands of years.
"
amblygonite,,,6.0,
